UDP,0.000000,A,0,0.500000
bat,0.000000,ready.bat,0,1.000000,0,0
bat,5.000000,forward.bat,0,6.000000,0,0
bat,38.000000,magic.bat,0,39.000000,0,0
bat,40.000000,rest.bat,0,41.000000,0,0
bat,55.000000,chat.bat,0,56.000000,0,0
bat,97.000000,magic.bat,0,98.000000,0,0
bat,90.000000,rest.bat,0,91.000000,0,0
bat,105.000000,chat.bat,0,106.000000,0,0
bat,126.000000,magic.bat,0,127.000000,0,0
bat,140.000000,rest.bat,0,141.000000,0,0
bat,155.000000,chat.bat,0,156.000000,0,0
bat,189.000000,magic.bat,0,190.000000,0,0
bat,190.000000,rest.bat,0,191.000000,0,0
bat,205.000000,end.bat,0,206.000000,0,0
UDP,205.000000,K,0,205.500000
